,Unnamed: 0,Imo,RecievedTime,FinishedRecievedTime,Latitude,Longitude,NavStatus,SailTime,name,type,built,dwt,loa,beam,status,flagState,holdsTotal,hatchesToNo,shipBuilder,shipBuilderCountry,draughtMeters,lastHullSurveyDate,hullSurveyDueDate
1438,1438,9713430,2019-10-26 12:40:03+00:00,2019-11-09 23:54:10+00:00,4.7470550000000005,93.23733666666666,0,347.2352777777778,Navios Victory,Bulk Carrier,2014,77095,224.98,32.24,In Service,Panama,7.0,7.0,Imabari SB Hiroshima,Japan,14.45,3/15/2020,12/04/2024
1439,1439,9713791,2019-12-17 20:32:03+00:00,2020-01-01 07:55:00+00:00,6.03902,95.99609166666669,0,347.3825,Sakizaya Glory,Bulk Carrier,2016,84883,228.95,35.0,In Service,Panama,7.0,7.0,Imabari SB Marugame,Japan,14.67,3/15/2016,3/14/2021
1440,1440,9713909,2019-07-30 23:59:43+00:00,2019-08-20 05:34:57+00:00,-34.905,18.878963333333328,0,485.58722222222224,Glory First,Bulk Carrier,2014,77157,224.98,32.24,In Service,Marshall Is.,7.0,7.0,Imabari SB Marugame,Japan,14.45,11/26/2019,10/27/2024
1441,1441,9713911,2019-05-08 15:02:02+00:00,2019-05-21 07:58:58+00:00,4.370798333333333,92.35726333333334,0,304.9488888888889,Nord Draco,Bulk Carrier,2014,84694,228.95,35.0,In Service,Marshall Is.,7.0,7.0,Imabari SB Marugame,Japan,14.47,11/17/2019,12/01/2024
1442,1442,9713911,2019-06-30 07:56:25+00:00,2019-07-15 13:48:31+00:00,-34.90348833333333,18.835623333333334,0,365.8683333333333,Nord Draco,Bulk Carrier,2014,84694,228.95,35.0,In Service,Marshall Is.,7.0,7.0,Imabari SB Marugame,Japan,14.47,11/17/2019,12/01/2024
1443,1443,9713911,2019-08-02 06:58:37+00:00,2019-08-15 23:59:06+00:00,5.5122800000000005,93.81353166666666,0,329.0080555555556,Nord Draco,Bulk Carrier,2014,84694,228.95,35.0,In Service,Marshall Is.,7.0,7.0,Imabari SB Marugame,Japan,14.47,11/17/2019,12/01/2024
1444,1444,9713935,2020-01-10 15:25:19+00:00,2020-01-24 15:35:53+00:00,5.034646666666666,93.58206666666666,0,336.1761111111111,Kypros Sky,Bulk Carrier,2015,77079,224.98,32.24,In Service,Cyprus,7.0,7.0,Imabari SB Marugame,Japan,14.45,3/31/2020,3/30/2025
1445,1445,9715311,2019-04-23 13:11:57+00:00,2019-05-08 15:43:19+00:00,3.1149633333333333,90.87132,0,362.5227777777778,GNG Concord 2,Bulk Carrier,2014,75337,225.0,32.26,In Service,Hong Kong,7.0,7.0,Shanghai Shipyard,China P.R.,14.2,12/10/2019,12/14/2024
1446,1446,9715452,2019-09-14 07:49:28+00:00,2019-09-30 06:36:36+00:00,-35.980176666666665,18.83416,0,382.7855555555557,Presinge,Bulk Carrier,2015,81886,228.99,32.26,In Service,Panama,7.0,7.0,Tsuneishi Zhoushan,China P.R.,14.43,10/15/2015,10/14/2025
1447,1447,9716028,2019-11-19 23:59:32+00:00,2019-12-07 06:46:24+00:00,-33.90359333333333,25.68422666666667,0,414.78111111111116,CL Singapore,Bulk Carrier,2016,81323,229.0,32.25,In Service,Hong Kong,7.0,7.0,CSC Jinling Shipyard,China P.R.,14.45,1/15/2016,1/15/2021
