,Unnamed: 0,Imo,RecievedTime,Latitude,Longitude,NavStatus,FullWaitTime,UnderwayCount,WaitingCount,MooredCount,OtherCount,FinishedCount,name,type,built,dwt,loa,beam,status,flagState,holdsTotal,hatchesToNo,shipBuilder,shipBuilderCountry,draughtMeters,lastHullSurveyDate,hullSurveyDueDate
1289,1289,9590709,2019-08-16 15:59:26+00:00,-20.09784,118.540435,1,1 days 07:57:53.000000000,64,23,29,0,1134,Alpha Liberty,Bulk Carrier,2011,179276,292.0,45.0,In Service,Greece,9.0,9.0,Hyundai HI (Ulsan),South Korea,18.22,03/05/2017,12/19/2021
1290,1290,9590709,2019-09-26 23:58:32+00:00,-20.118933333333327,118.63781166666666,1,2 days 15:59:42.000000000,64,26,33,0,1453,Alpha Liberty,Bulk Carrier,2011,179276,292.0,45.0,In Service,Greece,9.0,9.0,Hyundai HI (Ulsan),South Korea,18.22,03/05/2017,12/19/2021
1291,1291,9590709,2019-11-02 23:58:31+00:00,-20.107486666666667,118.61481333333332,1,0 days 23:59:21.000000000,66,20,37,0,1724,Alpha Liberty,Bulk Carrier,2011,179276,292.0,45.0,In Service,Greece,9.0,9.0,Hyundai HI (Ulsan),South Korea,18.22,03/05/2017,12/19/2021
1292,1292,9590826,2019-05-02 23:58:01+00:00,-20.079883333333328,118.54187166666668,1,4 days 07:59:50.000000000,36,31,26,0,287,Lowlands Sunrise,Bulk Carrier,2011,181458,291.98,45.0,In Service,Panama,9.0,9.0,Koyo Dock,Japan,18.24,04/05/2016,6/28/2021
1293,1293,9590852,2019-05-17 23:59:12+00:00,-20.106481666666667,118.57415333333331,1,7 days 15:58:51.000000000,50,27,22,0,409,Aqua Crystal,Bulk Carrier,2011,181458,291.98,45.0,In Service,Liberia,9.0,9.0,Koyo Dock,Japan,18.24,9/18/2016,07/05/2021
1294,1294,9590852,2019-09-16 23:58:08+00:00,-20.07126833333333,118.62171833333332,1,2 days 00:00:32.000000000,65,23,29,0,1379,Aqua Crystal,Bulk Carrier,2011,181458,291.98,45.0,In Service,Liberia,9.0,9.0,Koyo Dock,Japan,18.24,9/18/2016,07/05/2021
1295,1295,9591131,2019-06-07 23:58:06+00:00,-20.139145000000006,118.53622666666666,1,0 days 08:00:51.000000000,64,23,30,0,580,PSU Eighth,Ore Carrier,2013,262779,328.05,57.0,In Service,Singapore,5.0,5.0,Hyundai Samho HI,South Korea,18.83,04/06/2018,3/31/2023
1296,1296,9591131,2019-08-18 07:58:51+00:00,-20.077256666666667,118.53595833333334,1,4 days 07:58:18.000000000,64,25,24,0,1151,PSU Eighth,Ore Carrier,2013,262779,328.05,57.0,In Service,Singapore,5.0,5.0,Hyundai Samho HI,South Korea,18.83,04/06/2018,3/31/2023
1297,1297,9591131,2019-09-25 15:59:40+00:00,-20.105353333333333,118.511075,1,1 days 15:59:55.000000000,63,28,28,0,1447,PSU Eighth,Ore Carrier,2013,262779,328.05,57.0,In Service,Singapore,5.0,5.0,Hyundai Samho HI,South Korea,18.83,04/06/2018,3/31/2023
1298,1298,9591131,2019-12-07 23:59:48+00:00,-20.11593833333333,118.59772833333334,1,1 days 15:59:34.000000000,59,30,29,0,2004,PSU Eighth,Ore Carrier,2013,262779,328.05,57.0,In Service,Singapore,5.0,5.0,Hyundai Samho HI,South Korea,18.83,04/06/2018,3/31/2023
