Latitude,Longitude,FullWaitTime,WaitingCount,MooredCount,type,built,dwt,loa,beam,draughtMeters
-20.10696667,118.58215,15.98694444,36,16,1,2008,28333,169.37,27.2,9.82
-20.0846,118.50745,15.98722222,18,24,1,2010,179194,291.97,45,18.2
-20.11846167,118.53663,15.9875,17,23,1,2006,203280,299.95,50,17.91
-20.13781333,118.515285,15.9875,30,26,1,2012,205203,299.9,50,18.37
-20.12465833,118.605765,15.98833333,18,28,2,2013,251022,329.95,57,18.03
-20.08016667,118.5771667,15.98916667,39,26,3,2007,40083,175.98,31,11.11
-20.13075,118.5234833,15.98944444,27,29,1,2009,207942,299.7,50,18.23
-20.08223333,118.6021,15.99,22,25,1,2009,179185,291.97,45,18.2
-20.09513333,118.5608333,15.99,26,32,1,2009,179147,292,45,18.22
-20.0924,118.5375333,15.99111111,37,41,1,2010,180309,288.93,45,18.17
-20.10902167,118.5165467,15.99138889,25,23,1,2011,179678,292,45,18.22
-20.10958333,118.6302833,15.99166667,40,11,1,2009,28336,169.37,27.2,9.82
-20.06950667,118.5769417,15.99166667,19,29,2,2009,297488,327,55,21.4
-20.11988,118.5636067,15.99166667,20,26,2,2011,297359,327,55,21.4
-20.13493167,118.5083567,15.99222222,18,24,3,2011,45996,181.54,32.2,12.17
-20.11968833,118.577565,15.9925,29,30,2,2014,250063,330,57,18.02
-20.10732667,118.561435,15.9925,21,28,1,2015,207562,299.97,50,18.47
-20.138585,118.5435083,15.99361111,42,25,1,2010,93143,229.17,38,14.9
-20.07898333,118.6218833,15.99361111,37,41,1,2012,180391,292,45,18.2
-20.12133833,118.6176417,15.99361111,25,22,2,2015,262214,325,57,18.7
-20.14193333,118.5387183,15.99361111,18,34,2,2017,261088,327,57,18.8
-20.11833,118.6078867,15.99388889,3,11,1,2011,177807,292,45,18.3
-20.085755,118.5216917,15.99444444,26,32,1,2012,175247,291.8,45.02,18.25
-20.105625,118.56537,15.99472222,29,27,1,2016,209172,299.95,50,18.4
-20.10672333,118.5636283,15.995,21,37,2,2008,229117,319.58,54,18.1
-20.096505,118.5420317,15.99527778,38,22,1,2016,209243,299.95,50,18.4
-20.12228,118.5370783,15.99555556,22,26,1,2016,207765,299.88,50,18.5
-20.10533667,118.567245,15.99583333,25,28,1,2015,216656,306,52,18.2
-20.09683333,118.5671667,15.99611111,38,17,2,2012,228783,324.99,52.5,18.1
-20.12240667,118.617645,15.99638889,23,31,1,2018,180478,291.9,45,18.2
-20.12158333,118.5406733,15.99638889,21,26,2,2013,263055,328.05,57,18.83
-20.10111167,118.5267717,15.99666667,27,25,1,2010,181529,291.98,45,18.24
-20.11995833,118.5644917,15.99694444,14,22,1,2010,175868,291.8,45,18.25
-20.09328333,118.5101333,15.99722222,23,30,1,2010,206291,299.94,50,18.1
-20.09493333,118.6018333,15.99777778,18,29,1,2009,180786,292,45,18.2
-20.138135,118.51633,15.99833333,27,28,1,2009,29256,169.99,27,10.06
-20.13058333,118.5293833,15.99861111,16,23,1,2013,114038,250,43,14.5
-20.12135833,118.535355,15.99861111,35,42,2,2010,229008,324.99,52.5,18.1
-20.06835,118.5900833,15.99916667,17,28,1,2007,106552,255.22,43,13.46
-20.09461,118.5128183,15.99916667,35,24,1,2010,180317,295,46,18.1
-20.069495,118.6073667,16,18,29,1,2012,180643,291.9,45,18.07
-20.09336333,118.5598267,16.00083333,26,32,2,2014,251029,329.95,57,18
-20.12246333,118.6034883,16.00083333,23,27,2,2017,262000,325,57,18
-20.125185,118.53381,16.00083333,25,34,2,2013,251019,329.95,57,18.02
-20.09801667,118.567025,16.00083333,37,14,1,2016,209243,299.95,50,18.4
-20.12127667,118.51254,16.00111111,34,24,1,2011,181399,291.98,45,18.24
-20.06985667,118.6074417,16.00138889,19,29,1,2012,180643,291.9,45,18.07
-20.0829,118.5995833,16.00138889,25,28,1,2011,175850,291.8,45,18.25
-20.08621667,118.5240333,16.00166667,19,27,1,2010,175858,291.8,45,18.25
-20.10589167,118.6047717,16.00166667,26,22,1,2012,203027,299.95,49,18.35
-20.07876667,118.5777767,16.00194444,38,16,2,2008,229117,319.58,54,18.1
-20.10516667,118.5235,16.00194444,22,27,1,2012,180391,292,45,18.2
-20.08163833,118.60098,16.00194444,24,30,1,2009,177736,292,45,18.32
-20.08466167,118.606325,16.00222222,38,12,1,2016,180940,292,45,18.3
-20.150575,118.5397833,16.0025,29,32,2,2011,228915,324.99,52.5,18.1
-20.13447667,118.53729,16.0025,25,26,1,2016,182503,292,45,18.18
-20.06913,118.570695,16.00277778,22,25,1,2017,182981,291.95,45,18.25
-20.07901667,118.618545,16.00277778,19,27,1,2014,206070,299.92,50.01,18.47
-20.15203333,118.53333,16.00333333,24,29,1,2017,207672,299.88,50,18.5
-20.08188333,118.6150667,16.00361111,36,27,1,2002,175775,289.03,45,17.78
-20.12031833,118.5947567,16.00388889,24,23,2,2017,262781,327,57,18.8
-20.118875,118.5653517,16.00611111,27,35,2,2011,250847,329.95,57,18.02
-20.09398333,118.6044333,16.00638889,24,35,1,2010,179719,292,45,18.2
-20.11921,118.5819067,16.00638889,29,40,1,2012,207867,300,50,18.22
-20.12143,118.5806117,16.00694444,17,23,1,2017,208662,299.9,50,18.32
