Imo,RecievedTime,Latitude,Longitude,NavStatus,FullWaitTime,WaitingCount,MooredCount,type,built,dwt,loa,beam,holdsTotal,hatchesToNo,draughtMeters
9527403,2019-04-23 07:58:00+00:00,-20.14970167,118.5377083,1,32.01138889,42,22,Product Carrier,2011,45996,181.54,32.2,,,12.17
9722388,2019-09-19 15:57:25+00:00,-20.12409833,118.594955,1,32.01138889,27,28,Bulk Carrier,2016,179258,291.97,45.05,9,9,18.22
9749881,2019-06-21 15:59:07+00:00,-20.10991833,118.5807317,1,32.01138889,38,29,Ore Carrier,2019,250194,329.95,57,7,7,18.02
9537898,2019-09-18 15:59:13+00:00,-20.08113833,118.58258,0,32.01222222,25,30,Bulk Carrier,2010,93062,229.2,38,7,7,14.9
9613070,2019-09-04 07:58:11+00:00,-20.12229,118.5130867,1,32.01222222,12,24,Bulk Carrier,2012,176389,292,45,9,9,18.3
9403504,2019-07-25 07:59:07+00:00,-20.09492667,118.51512,1,32.01305556,23,29,Bulk Carrier,2011,179062,292,45,9,9,18.3
9516533,2019-06-02 07:57:23+00:00,-20.10538833,118.5594333,1,32.01388889,25,32,Bulk Carrier,2014,207811,300,50,9,9,18.2
9345764,2020-01-20 07:59:03+00:00,-20.06701667,118.6187333,1,32.01444444,30,30,Bulk Carrier,2006,171680,289,45,9,9,17.92
9593464,2019-04-26 23:57:28+00:00,-20.06466,118.62776,1,32.01472222,40,23,Bulk Carrier,2012,179185,291.97,45,9,9,18.22
9510199,2019-03-28 07:59:00+00:00,-20.09325,118.5833833,0,32.015,26,14,Bulk Carrier,2010,182060,292,44.98,9,9,18.28
9731456,2019-11-01 07:58:36+00:00,-20.10765167,118.6080833,1,32.01583333,22,39,Bulk Carrier,2016,207709,299.88,50,9,9,18.5
9397743,2019-11-07 23:58:48+00:00,-20.09346167,118.5131483,1,32.01638889,20,37,Bulk Carrier,2009,177974,292,45,9,9,18.3
9308869,2019-12-11 07:58:32+00:00,-20.07275167,118.5245483,1,32.01666667,14,30,Bulk Carrier,2006,174333,289,45,9,9,18.1
9487639,2019-09-19 07:58:01+00:00,-20.136095,118.5162567,1,32.01722222,27,30,Ore Carrier,2013,251019,329.95,57,9,9,18.02
9633733,2019-04-25 07:58:34+00:00,-20.12254667,118.50856,1,32.01805556,43,21,Bulk Carrier,2013,180032,295,46,9,9,18.1
9703239,2019-08-27 07:58:41+00:00,-20.124215,118.5094683,1,32.01805556,17,29,Bulk Carrier,2016,180940,292,45,9,9,18.3
9620516,2020-01-26 07:58:34+00:00,-20.09396667,118.57973,1,32.01833333,34,28,Bulk Carrier,2012,115079,254,43,7,7,14.5
9713052,2019-10-28 23:58:13+00:00,-20.12369167,118.566475,1,32.01833333,19,41,Bulk Carrier,2016,209172,299.95,50,9,9,18.4
9439632,2019-06-09 07:58:19+00:00,-20.095145,118.62298,1,32.01861111,26,31,Bulk Carrier,2011,180159,295,46,9,9,18.1
9638850,2019-11-26 23:58:15+00:00,-20.09709833,118.5678233,1,32.02,23,26,Bulk Carrier,2013,207422,300,50,9,9,18.2
9723899,2019-09-18 07:58:10+00:00,-20.09383667,118.6083483,1,32.02,24,30,Bulk Carrier,2016,206938,300,50,9,9,18.59
9631321,2019-11-04 15:58:10+00:00,-20.104355,118.620215,1,32.02083333,22,37,Bulk Carrier,2013,206068,299.85,50,9,9,18.49
9613094,2019-12-31 23:58:42+00:00,-20.11820167,118.5127117,1,32.02111111,26,26,Bulk Carrier,2014,179910,295,46,9,9,18.1
9474008,2019-08-07 07:55:46+00:00,-20.06867833,118.594375,1,32.02138889,21,27,Ore Carrier,2011,229126,324.99,52.5,5,5,18.1
9603415,2020-01-09 23:57:52+00:00,-20.11070167,118.5821567,1,32.02166667,27,30,Bulk Carrier,2012,207867,300,50,9,9,18.22
9648893,2019-09-15 15:58:35+00:00,-20.12132,118.541075,1,32.02222222,21,28,Bulk Carrier,2014,206030,299.92,50,9,9,18.4
9516507,2019-12-18 07:57:25+00:00,-20.06778333,118.5950833,1,32.0225,23,24,Bulk Carrier,2011,207978,300,50,9,9,18.2
9434424,2019-08-13 15:57:52+00:00,-20.12835667,118.535855,1,32.02333333,25,24,Bulk Carrier,2010,180702,292,45,9,9,18.2
9741786,2019-04-11 15:58:14+00:00,-20.124135,118.5792067,1,32.02416667,18,20,Ore Carrier,2016,250380,325,57,9,9,18
9654799,2019-11-30 23:57:58+00:00,-20.12038833,118.5889433,1,32.02472222,32,27,Bulk Carrier,2014,187882,299.84,47.5,9,9,18.02
9567104,2019-06-24 15:58:25+00:00,-20.08869667,118.5271833,1,32.025,35,31,Bulk Carrier,2012,175589,291.8,45,9,9,18.25
