,RecievedTime,FinishedRecievedTime,Latitude,Longitude,WaitTime,type,built,dwt,loa,beam,draughtMeters
78,2019-05-12 23:56:16+00:00,2019-05-16 23:58:07+00:00,17.891678333333335,-102.20440833333332,96.03083333333332,Bulk Carrier,1981,65738,225.01,32.2,12.91
79,2019-05-18 23:52:37+00:00,2019-05-22 23:58:29+00:00,17.90173,-102.17065833333334,96.0977777777778,Bulk Carrier,1981,65738,225.01,32.2,12.91
80,2019-05-28 07:36:20+00:00,2019-05-28 14:48:09+00:00,24.40559833333333,-110.65945833333332,7.196944444444443,Bulk Carrier,1981,65738,225.01,32.2,12.91
81,2019-06-10 07:59:32+00:00,2019-06-21 23:58:05+00:00,17.889898333333335,-102.19996166666668,279.97583333333336,Bulk Carrier,1981,65738,225.01,32.2,12.91
82,2019-07-10 15:37:51+00:00,2019-07-29 07:57:58+00:00,17.895954999999994,-102.22196333333332,448.3352777777778,Bulk Carrier,1981,65738,225.01,32.2,12.91
83,2019-09-12 21:14:50+00:00,2019-09-20 07:58:08+00:00,17.884938333333334,-102.16853,178.72166666666664,Bulk Carrier,1981,65738,225.01,32.2,12.91
84,2019-10-26 05:35:33+00:00,2019-10-29 23:57:36+00:00,17.894863333333333,-102.175725,90.3675,Bulk Carrier,1981,65738,225.01,32.2,12.91
85,2019-11-05 07:38:57+00:00,2019-11-15 07:58:14+00:00,17.89728,-102.17083333333332,240.3213888888889,Bulk Carrier,1981,65738,225.01,32.2,12.91
86,2019-12-17 14:27:54+00:00,2019-12-19 22:56:52+00:00,24.39777166666667,-110.65840333333334,56.48277777777778,Bulk Carrier,1981,65738,225.01,32.2,12.91
87,2020-01-17 23:54:44+00:00,2020-01-23 07:59:41+00:00,17.882766666666665,-102.18079666666668,128.0825,Bulk Carrier,1981,65738,225.01,32.2,12.91
88,2020-02-17 23:08:30+00:00,2020-02-20 23:55:28+00:00,17.880853333333334,-102.18960833333334,72.78277777777778,Bulk Carrier,1981,65738,225.01,32.2,12.91
89,2019-06-15 23:57:03+00:00,2019-06-16 15:59:59+00:00,51.89486333333333,1.6918933333333332,16.04888888888889,Bulk Carrier,1984,65402,224.37,32.2,13.02
90,2019-07-19 07:51:19+00:00,2019-07-19 15:43:05+00:00,56.45532666666666,-5.5344783333333325,7.862777777777778,Bulk Carrier,1984,65402,224.37,32.2,13.02
91,2019-08-16 15:59:41+00:00,2019-08-23 07:31:09+00:00,54.06646833333333,7.775996666666668,159.52444444444444,Bulk Carrier,1984,65402,224.37,32.2,13.02
92,2019-11-11 23:59:45+00:00,2019-11-21 15:59:19+00:00,52.526975,4.292961666666667,231.99277777777775,Bulk Carrier,1984,65402,224.37,32.2,13.02
93,2019-12-27 07:57:29+00:00,2019-12-27 15:57:25+00:00,53.92146,7.842826666666666,7.998888888888889,Bulk Carrier,1984,65402,224.37,32.2,13.02
94,2020-01-13 07:58:25+00:00,2020-01-13 15:57:57+00:00,53.91672666666667,7.804208333333332,7.992222222222222,Bulk Carrier,1984,65402,224.37,32.2,13.02
